value,fill,clear,water,cloudshadow,snow,cloud, cloud_confidence,description,
1,Yes,No,No,No,No,No,None,fill pixel,
66,No,Yes,No,No,No,No,Low," Clear, low-confidence cloud",
68,No,No,Yes,No,No,No,Low," Water, low-confidence cloud",
72,No,No,No,Yes,No,No,Low," Cloud shadow, low-confidence cloud",
80,No,No,No,No,Yes,No,Low," Snow/ice, low-confidence cloud",
96,No,No,No,No,No,Yes,Low," Cloud, low-confidence cloud",
112,No,No,No,No,Yes,Yes,Low," Snow/ice, cloud, low-confidence cloud",
130,No,Yes,No,No,No,No,Medium," Clear, medium-confidence cloud",
132,No,No,Yes,No,No,No,Medium," Water, medium-confidence",medium-confidence
136,No,No,No,Yes,No,No,Medium," Cloud shadow, medium-confidence cloud",
144,No,No,No,No,Yes,No,Medium," Snow/ice, medium-confidence cloud",
160,No,No,No,No,No,Yes,Medium," Cloud, medium-confidence cloud",
176,No,No,No,No,Yes,Yes,Medium," Snow/ice, medium-confidence cloud",
224,No,No,No,No,No,Yes,High," Cloud, high-confidence cloud",
